"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4015","12.2 Read a Blog Post","chromium","2026-05-16","passed","2026-05-16","","blog.spec.ts","",""
"","7246","14.6 Open the Terms of Service Page","chromium","2026-05-16","passed","2026-05-16","","static-pages.spec.ts","",""
"","4398","7.3 Click Start Shopping from Empty Wishlist","chromium","2026-05-16","passed","2026-05-16","","wishlist.spec.ts","",""
"","3515","5.5 Use Pagination (Page 2)","chromium","2026-05-16","passed","2026-05-16","","shop-listing.spec.ts","",""
"","62939","14.7 Open the Wholesale Page (External)","chromium","2026-05-16","broken","2026-05-16","","static-pages.spec.ts","",""
"","60301","8.6 Proceed to Checkout from Cart","chromium","2026-05-16","broken","2026-05-16","","shopping-cart.spec.ts","",""
"","7550","6.5 Increase Quantity and Add to Cart","chromium","2026-05-16","passed","2026-05-16","","product-detail.spec.ts","",""
"","5094","1.8 Browse CUREVANA SIGNATURE BRANDS Carousel","chromium","2026-05-16","passed","2026-05-16","","home-page.spec.ts","",""
"","7681","2.7 Open User Profile (Guest)","chromium","2026-05-16","passed","2026-05-16","","header-nav.spec.ts","",""
"","5727","12.1 Browse the Blog Index Page","chromium","2026-05-16","passed","2026-05-16","","blog.spec.ts","",""
"","4028","1.6 Switch Tabs in OUR BEST PRODUCTS","chromium","2026-05-16","passed","2026-05-16","","home-page.spec.ts","",""
"","60448","8.3 Apply a Coupon Code","chromium","2026-05-16","broken","2026-05-16","","shopping-cart.spec.ts","",""
"","6908","7.1 View an Empty Wishlist","chromium","2026-05-16","passed","2026-05-16","","wishlist.spec.ts","",""
"","5334","15.2 Click Email Link in Footer Contact","chromium","2026-05-16","passed","2026-05-16","","footer.spec.ts","",""
"","16833","1.4 Click Big Banner Sections","chromium","2026-05-16","passed","2026-05-16","","home-page.spec.ts","",""
"","16232","5.6 Add Product to Cart from Listing Card","chromium","2026-05-16","passed","2026-05-16","","shop-listing.spec.ts","",""
"","10362","15.4 Verify Footer Disclaimers and Copyright","chromium","2026-05-16","failed","2026-05-16","","footer.spec.ts","",""
"","60288","8.2 Increase Quantity in Cart","chromium","2026-05-16","broken","2026-05-16","","shopping-cart.spec.ts","",""
"","14602","14.5 Open the Shipping Policy Page","chromium","2026-05-16","passed","2026-05-16","","static-pages.spec.ts","",""
"","60090","8.4 Remove a Single Item from Cart","chromium","2026-05-16","broken","2026-05-16","","shopping-cart.spec.ts","",""
"","4882","2.4 Navigate Home via Logo","chromium","2026-05-16","passed","2026-05-16","","header-nav.spec.ts","",""
"","10550","2.5 Open the Cart Page from Header","chromium","2026-05-16","failed","2026-05-16","","header-nav.spec.ts","",""
"","7768","1.3 Click Explore Now in About Section","chromium","2026-05-16","passed","2026-05-16","","home-page.spec.ts","",""
"","2721","5.2 Open the Filter Panel","chromium","2026-05-16","passed","2026-05-16","","shop-listing.spec.ts","",""
"","16545","2.1 Verify Desktop Header Links","chromium","2026-05-16","passed","2026-05-16","","header-nav.spec.ts","",""
"","3802","14.2 Open the FDA Disclaimer Page","chromium","2026-05-16","passed","2026-05-16","","static-pages.spec.ts","",""
"","26897","1.5 Click Category Tiles under WHY WE STAND OUT","chromium","2026-05-16","passed","2026-05-16","","home-page.spec.ts","",""
"","11941","7.2 Add Product to Wishlist from Product Card","chromium","2026-05-16","passed","2026-05-16","","wishlist.spec.ts","",""
"","6959","1.1 Launch the Curevana Website","chromium","2026-05-16","passed","2026-05-16","","home-page.spec.ts","",""
"","21306","8.1 Open the Cart Page","chromium","2026-05-16","failed","2026-05-16","","shopping-cart.spec.ts","",""
"","63029","15.3 Visit Curevana on Instagram","chromium","2026-05-16","broken","2026-05-16","","footer.spec.ts","",""
"","4905","6.7 Browse Best Sellers Related Products","chromium","2026-05-16","passed","2026-05-16","","product-detail.spec.ts","",""
"","20091","1.2 Click on the Hero Video Banner","chromium","2026-05-16","passed","2026-05-16","","home-page.spec.ts","",""
"","4682","6.3 Click a Category Chip on Product Page","chromium","2026-05-16","passed","2026-05-16","","product-detail.spec.ts","",""
"","62931","15.1 Use Footer Shop Column Quick Links","chromium","2026-05-16","broken","2026-05-16","","footer.spec.ts","",""
"","4397","6.4 Select a Flavor Variant","chromium","2026-05-16","passed","2026-05-16","","product-detail.spec.ts","",""
"","7001","2.6 Open the Wishlist from Header Icon","chromium","2026-05-16","passed","2026-05-16","","header-nav.spec.ts","",""
"","65935","9.2 Fill Shipping and Billing Separately","chromium","2026-05-16","broken","2026-05-16","","checkout.spec.ts","",""
"","11029","4.1 Subscribe to the Newsletter","chromium","2026-05-16","passed","2026-05-16","","newsletter.spec.ts","",""
"","3607","6.6 Use Buy Now for Express Checkout","chromium","2026-05-16","passed","2026-05-16","","product-detail.spec.ts","",""
"","11362","1.9 Use Scroll-to-Top Button","chromium","2026-05-16","passed","2026-05-16","","home-page.spec.ts","",""
"","5300","5.4 Filter Products by Shipping State","chromium","2026-05-16","passed","2026-05-16","","shop-listing.spec.ts","",""
"","7837","14.4 Open the Refund Policy Page","chromium","2026-05-16","passed","2026-05-16","","static-pages.spec.ts","",""
"","3272","5.1 Open the Shop / Product Listing Page","chromium","2026-05-16","passed","2026-05-16","","shop-listing.spec.ts","",""
"","11311","6.1 Open a Product Detail Page","chromium","2026-05-16","failed","2026-05-16","","product-detail.spec.ts","",""
"","8819","1.7 Click DISCOVER THE LINEUP CTA","chromium","2026-05-16","passed","2026-05-16","","home-page.spec.ts","",""
"","8981","2.3 Join Our Community via WhatsApp","chromium","2026-05-16","passed","2026-05-16","","header-nav.spec.ts","",""
"","62699","9.1 Fill Shipping Address (Same as Billing)","chromium","2026-05-16","broken","2026-05-16","","checkout.spec.ts","",""
"","33697","2.2 Navigate to Pages from Header","chromium","2026-05-16","passed","2026-05-16","","header-nav.spec.ts","",""
"","4876","3.1 Search for a Product","chromium","2026-05-16","passed","2026-05-16","","search.spec.ts","",""
"","12795","14.1 Open the About Us Page","chromium","2026-05-16","failed","2026-05-16","","static-pages.spec.ts","",""
"","6264","5.3 Filter Products by Category","chromium","2026-05-16","passed","2026-05-16","","shop-listing.spec.ts","",""
"","3024","14.3 Open the Privacy Policy Page","chromium","2026-05-16","passed","2026-05-16","","static-pages.spec.ts","",""
"","38679","8.5 Clear the Entire Cart","chromium","2026-05-16","failed","2026-05-16","","shopping-cart.spec.ts","",""
"","61509","6.2 Switch Main Image via Thumbnails","chromium","2026-05-16","broken","2026-05-16","","product-detail.spec.ts","",""
